fecha,victima,sexo,edad,fecha_fallecimiento,ID,n_victimas,hora,tipo_calle,calle,comuna,longitud,latitud,acusado
2017-05-05,MOTO,MASCULINO,28,2017-05-05,2017-0053,1,20:16:22,CALLE,VIEYTES,4,-58.37547846,-34.65326075,CARGAS
2017-05-07,MOTO,FEMENINO,20,2017-05-07,2017-0054,1,21:00:00,AVENIDA,DE LOS CONSTITUYENTES AV.,15,-58.48680218,-34.58689719,AUTO
2017-05-09,AUTO,MASCULINO,32,2017-05-09,2017-0055,1,08:30:00,AVENIDA,DE LOS CONSTITUYENTES AV.,12,-58.49563989,-34.57962262,AUTO
2017-05-09,PEATON,MASCULINO,80,2017-05-09,2017-0058,1,23:10:00,AVENIDA,CORDOBA AV.,1,-58.38403232,-34.5991594,MOTO
2017-05-11,PEATON,FEMENINO,39,2017-05-11,2017-0059,1,09:24:00,CALLE,BRASIL,1,-58.38223382,-34.62693865,PASAJEROS
2017-05-13,MOTO,MASCULINO,30,2017-05-13,2017-0060,1,07:20:00,AVENIDA,ESCALADA AV.,8,-58.45966521,-34.67323292,OBJETO FIJO
2017-05-15,PEATON,MASCULINO,47,2017-05-16,2017-0061,1,13:29:30,AVENIDA,PARAGUAY,2,-58.39303911,-34.59871111,MOTO
2017-05-15,MOTO,MASCULINO,35,2017-05-15,2017-0062,1,16:00:00,AVENIDA,"JUSTO, JUAN B. AV.",10,-58.51262106,-34.63395999,CARGAS
2017-05-17,PEATON,FEMENINO,79,2017-05-17,2017-0063,1,10:13:00,AVENIDA,CHILE,1,-58.38118367,-34.61646839,PASAJEROS
2017-05-20,CARGAS,MASCULINO,61,2017-05-20,2017-0064,1,05:00:00,CALLE,MAIPU,1,-58.37653284,-34.60582475,AUTO
2017-05-22,BICICLETA,MASCULINO,21,2017-05-22,2017-0065,1,16:00:00,AVENIDA,SUAREZ AV.,4,-58.37709334,-34.64035082,CARGAS
2017-05-22,PEATON,MASCULINO,10,2017-05-22,2017-0066,1,18:10:00,AVENIDA,SAN MARTIN AV.,15,-58.46002142,-34.60409469,PASAJEROS
2017-05-23,MOTO,MASCULINO,21,2017-05-23,2017-0067,1,02:45:00,AVENIDA,DIRECTORIO AV.,6,-58.4338197,-34.62801894,CARGAS
2017-05-27,MOTO,MASCULINO,32,2017-05-27,2017-0068,1,19:50:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",8,-58.43580656,-34.66437532,OBJETO FIJO
2017-05-30,PEATON,MASCULINO,80,2017-05-31,2017-0070,1,13:20:00,CALLE,NUEVA YORK,11,-58.50791763,-34.59804273,AUTO
2017-06-03,AUTO,MASCULINO,25,2017-06-03,2017-0072,1,23:20:00,AVENIDA,DE LOS CONSTITUYENTES AV.,12,-58.49175088,-34.58226957,AUTO
2017-06-04,MOTO,MASCULINO,19,2017-06-04,2017-0073,1,09:00:00,AVENIDA,CORRIENTES AV.,3,-58.40781467,-34.60425669,AUTO
2017-06-12,PEATON,MASCULINO,55,2017-06-12,2017-0075,1,22:38:00,AVENIDA,DE MAYO AV.,1,-58.381542,-34.60906385,MOTO
2017-06-13,PEATON,FEMENINO,30,2017-06-13,2017-0076,1,14:50:00,AVENIDA,"CASTILLO, RAMON S., PRES. AV.",2,-58.38526125,-34.5780581,CARGAS
2017-06-17,MOTO,FEMENINO,60,2017-06-18,2017-0077,1,23:45:00,CALLE,FRAY JUSTO SANTAMARIA DE ORO,14,-58.42934104,-34.58451712,CARGAS
2017-06-19,MOTO,MASCULINO,33,2017-06-19,2017-0079,1,16:26:00,CALLE,MEXICO,3,-58.40657493,-34.61781124,CARGAS
2017-06-22,PEATON,FEMENINO,95,2017-06-22,2017-0080,1,10:15:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,-58.49525314,-34.64487785,CARGAS
2017-06-25,PEATON,MASCULINO,36,2017-06-25,2017-0082,1,22:40:00,AVENIDA,ENTRE RIOS AV.,4,-58.39092851,-34.62932696,AUTO
2017-07-04,MOTO,MASCULINO,37,2017-07-04,2017-0083,1,00:25:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,-58.49603546,-34.64564271,CARGAS
2017-07-05,PEATON,FEMENINO,73,2017-07-05,2017-0084,1,12:49:00,AVENIDA,DEL LIBERTADOR AV.,2,-58.38502878,-34.58703485,PASAJEROS
2017-07-07,PEATON,MASCULINO,84,2017-07-07,2017-0085,1,14:15:00,AVENIDA,TACUARI,4,-58.37261143,-34.63150425,PASAJEROS
2017-07-09,PEATON,FEMENINO,30,2017-07-09,2017-0086,1,07:30:00,AVENIDA,RIVADAVIA AV.,9,-58.51876802,-34.63905965,MOTO
2017-07-10,PEATON,FEMENINO,73,2017-07-10,2017-0087,1,10:45:00,CALLE,24 DE NOVIEMBRE,3,-58.41095567,-34.61516101,AUTO
2017-07-10,PEATON,MASCULINO,43,2017-07-10,2017-0088,1,22:30:00,AVENIDA,PASEO COLON AV.,1,-58.36797542,-34.62519403,PASAJEROS
2017-07-15,PEATON,MASCULINO,22,2017-07-15,2017-0090,1,05:15:00,AUTOPISTA,CHIVILCOY AV.,11,-58.51925642,-34.59171721,AUTO
2017-07-24,PEATON,MASCULINO,66,2017-07-24,2017-0092,1,22:16:01,AUTOPISTA,AUTOPISTA 25 DE MAYO,1,-58.38268809,-34.62282019,AUTO
2017-07-25,PEATON,MASCULINO,37,2017-07-25,2017-0093,1,16:48:40,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,-58.43633522,-34.54966288,AUTO
2017-07-27,BICICLETA,FEMENINO,56,2017-07-27,2017-0094,1,08:50:00,CALLE,"HUGO, VICTOR",10,-58.52640838,-34.61765855,CARGAS
2017-08-06,MOTO,MASCULINO,36,2017-08-06,2017-0095,1,08:00:00,AVENIDA,CORDOBA AV.,14,-58.41894306,-34.59778875,AUTO
2017-08-07,PEATON,MASCULINO,87,2017-08-07,2017-0096,1,19:50:00,AVENIDA,CABILDO AV.,13,-58.46756026,-34.54972741,PASAJEROS
2017-08-08,PEATON,FEMENINO,61,2017-08-08,2017-0098,1,12:10:00,CALLE,"BONIFACIO, JOSE",7,-58.45715752,-34.63132912,AUTO
2017-08-17,BICICLETA,MASCULINO,28,2017-08-17,2017-0099,1,19:45:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",14,-58.42406784,-34.56213916,AUTO
